

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
071.542  000.095  000.095: require('nightfox.palette')
071.710  000.063  000.063: require('nightfox.lib.shade')
071.762  000.217  000.154: require('nightfox.palette.terafox')
072.587  000.059  000.059: require('lualine.utils.mode')
073.537  003.751  002.317: require('lualine-config')
073.771  000.028  000.028: require('bufferline.lazy')
073.807  000.032  000.032: require('bufferline.constants')
073.937  000.127  000.127: require('bufferline.commands')
073.968  000.391  000.204: require('bufferline')
074.105  000.136  000.136: require('bufferline.utils')
075.008  000.370  000.370: require('bufferline.config')
075.297  000.246  000.246: require('bufferline.groups')
075.382  000.068  000.068: require('bufferline.colors')
075.627  000.139  000.139: require('bufferline.highlights')
076.588  000.509  000.509: require('bufferline.hover')
077.020  000.339  000.339: require('bufferline.ui')
077.040  003.501  001.302: require('buffer-line-config')
077.278  000.102  000.102: require('telescope._extensions')
077.282  000.221  000.118: require('telescope')
078.377  000.189  000.189: require('plenary.bit')
078.479  000.100  000.100: require('plenary.functional')
078.497  000.011  000.011: require('ffi')
078.506  000.774  000.474: require('plenary.path')
078.512  000.978  000.205: require('plenary.strings')
078.592  000.078  000.078: require('telescope.deprecated')
079.161  000.189  000.189: require('plenary.log')
079.173  000.277  000.088: require('telescope.log')
079.820  000.336  000.336: require('plenary.job')
079.912  000.089  000.089: require('telescope.state')
079.918  000.743  000.318: require('telescope.utils')
079.923  001.329  000.309: require('telescope.sorters')
081.186  003.903  001.517: require('telescope.config')
081.792  004.750  000.627: require('telescope-config')
081.939  000.144  000.144: require('go')
082.685  000.481  000.481: require('go.utils')
082.687  000.738  000.256: require('go.commands')
083.339  000.077  000.077: require('go.keybind')
083.486  000.131  000.131: require('go.alt_getopt')
083.506  000.621  000.413: require('go.dap')
083.650  000.115  000.115: require('go.mockgen')
084.021  000.209  000.209: require('go.gopls')
084.023  000.333  000.124: require('go.godoc')
084.369  000.121  000.121: require('go.list')
084.375  000.350  000.229: require('go.package')
